source,source_listing_id,source_url,scraped_at,publication_date,last_updated_date,active_status,active_evidence,title,description,district,subarea,address,latitude,longitude,coord_source,coord_precision,rent_original,rent_currency,rent_pen,rent_usd,rent_pen_basis,rent_usd_basis,maintenance_fee,maintenance_currency,maintenance_pen,maintenance_usd,maintenance_pen_basis,maintenance_usd_basis,maintenance_included_in_rent,estimated_total_monthly_pen,estimated_total_monthly_usd,fx_rate_usd_pen,property_type,operation,bedrooms,bathrooms,total_area_m2,built_area_m2,floor,total_floors,parking_spaces,parking_included,furnished,semi_furnished,balcony,terrace,laundry,interior_view,exterior_view,acoustic_windows,study,walk_in_closet,avenue_view,quiet_claim,studio_text,short_term_text,shared_room_text,internet_included,elevator,security_24h,gym,pool,coworking,common_areas,pets_allowed,minimum_contract_months,deposit_months,advance_months,utilities_included,agent_name,agency_name,phone,whatsapp,main_image_url,image_count,image_keys,amenities,raw_description,text_signals
urbania,1011,https://example.com/demo/urbania/1011.html,2026-09-24T17:45:06-05:00,2026-09-15,,LIKELY_ACTIVE,returned by a live urbania search at 2026-09-24T17:45:06-05:00,Departamento en alquiler — 1 dorm. (DEMO 1011),"Lindo depa amoblado con balcón y vista a la avenida, a pocos pasos del parque. Portería 24h, zona de parrilla. Se aceptan mascotas pequeñas. Garantía: dos meses. Contrato de 12 meses.",Miraflores,Lima,Av. Ejemplo 210 (DEMO),-12.116287,-77.024685,LISTING,APPROXIMATE,2150.0,PEN,2150.0,635.16,PUBLISHED,CALCULATED,350.0,PEN,350.0,103.4,PUBLISHED,CALCULATED,,2500.0,738.56,3.385,,Alquiler,1,2.0,43.0,38.0,,,1.0,True,True,,True,,,,True,,,,,,,,,,,True,,,,True,True,12.0,2.0,,,,DEMO Agente H,,,https://example.com/img/001011abcdef1234-1011.jpg,11,"['001011abcdef1234', '001011abcdef1234', '001011abcdef1234', '001011abcdef1234', '001011abcdef1234', '001011abcdef1234', '001011abcdef1234', '001011abcdef1234', '001011abcdef1234', '001011abcdef1234', '001011abcdef1234']",[],"Lindo depa amoblado con balcón y vista a la avenida, a pocos pasos del parque. Portería 24h, zona de parrilla. Se aceptan mascotas pequeñas. Garantía: dos meses. Contrato de 12 meses.","['furnished: …(demo 1011) \n lindo depa amoblado con balcon y vista a la…', 'balcony: …lindo depa amoblado con balcon y vista a la avenida, a…', 'exterior_view: …pa amoblado con balcon y vista a la avenida, a pocos pasos del parqu…', 'security_24h: …pocos pasos del parque. porteria 24h, zona de parrilla. s…', 'common_areas: …el parque. porteria 24h, zona de parrilla. se aceptan mascotas peq…', 'pets_allowed: …4h, zona de parrilla. se aceptan mascotas pequenas. garantia: dos…', 'contract: …as. garantia: dos meses. contrato de 12 meses.…', 'deposit: …eptan mascotas pequenas. garantia: dos meses. contrato de 12 meses.…']"
adondevivir,1012,https://example.com/demo/adondevivir/1012.html,2026-09-24T17:45:06-05:00,2026-08-13,,LIKELY_ACTIVE,returned by a live adondevivir search at 2026-09-24T17:45:06-05:00,Departamento en alquiler — 2 dorm. (DEMO 1012),"Departamento sin amoblar, calle tranquila y residencial, contrafrente. Dos baños completos, walk-in closet. Incluye estacionamiento. Contrato mínimo 6 meses.",Miraflores,Lima,Av. Ejemplo 211 (DEMO),-12.124771,-77.041065,LISTING,EXACT,2250.0,PEN,2250.0,664.7,PUBLISHED,CALCULATED,420.0,PEN,420.0,124.08,PUBLISHED,CALCULATED,,2670.0,788.78,3.385,,Alquiler,2,2.0,66.0,61.0,,,0.0,False,False,,,,,True,,,,True,,True,,,,,,,,,,,,6.0,,,,,DEMO Agente I,,,https://example.com/img/001012abcdef1234-1012.jpg,5,"['001012abcdef1234', '001012abcdef1234', '001012abcdef1234', '001012abcdef1234', '001012abcdef1234']",[],"Departamento sin amoblar, calle tranquila y residencial, contrafrente. Dos baños completos, walk-in closet. Incluye estacionamiento. Contrato mínimo 6 meses.","['furnished=False: …emo 1012) \n departamento sin amoblar, calle tranquila y resid…', 'interior_view: …tranquila y residencial, contrafrente. dos banos completos, wa…', 'quiet_claim: …epartamento sin amoblar, calle tranquila y residencial, contrafre…', 'parking_included: …mpletos, walk-in closet. incluye estacionamiento. contrato minimo 6 meses…', 'walk_in_closet: …te. dos banos completos, walk-in closet. incluye estacion…', 'contract: …incluye estacionamiento. contrato minimo 6 meses.…']"
urbania,1013,https://example.com/demo/urbania/1013,2026-09-24T17:45:06-05:00,2026-09-03,,LIKELY_ACTIVE,returned by a live urbania search at 2026-09-24T17:45:06-05:00,Alquiler departamento 1 dormitorio Miraflores (DEMO 1013),"Lindo depa semi-amoblado con balcón y vista a la avenida, a pocos pasos del parque. Portería 24h, zona de parrilla. Se aceptan mascotas pequeñas. Garantía: dos meses. Contrato de 12 meses.",Miraflores,,Calle Ejemplo 112 (DEMO),-12.131318,-77.027452,LISTING,APPROXIMATE,710.0,USD,2403.35,710.0,CALCULATED,PUBLISHED,420.0,PEN,420.0,124.08,PUBLISHED,CALCULATED,,2823.35,834.08,3.385,,,1,1.5,50.0,43.0,,,,,False,True,True,,,,True,,,,,,,,,,True,True,True,,,True,True,12.0,2.0,,,,DEMO Inmobiliaria C,+5110001012,,https://example.com/img/001013abcdef1234-1013.jpg,10,"['001013abcdef1234', '001013abcdef1234', '001013abcdef1234', '001013abcdef1234', '001013abcdef1234', '001013abcdef1234', '001013abcdef1234', '001013abcdef1234', '001013abcdef1234', '001013abcdef1234']","['Gimnasio', 'Ascensor']","Lindo depa semi-amoblado con balcón y vista a la avenida, a pocos pasos del parque. Portería 24h, zona de parrilla. Se aceptan mascotas pequeñas. Garantía: dos meses. Contrato de 12 meses.","['semi_furnished: …(demo 1013) \n lindo depa semiamoblado con balcon y vista a la…', 'balcony: …do depa semiamoblado con balcon y vista a la avenida, a…', 'exterior_view: …emiamoblado con balcon y vista a la avenida, a pocos pasos del parqu…', 'elevator: …e 12 meses. \n gimnasio ; ascensor…', 'security_24h: …pocos pasos del parque. porteria 24h, zona de parrilla. s…', 'gym: …contrato de 12 meses. \n gimnasio ; ascensor…', 'common_areas: …el parque. porteria 24h, zona de parrilla. se aceptan mascotas peq…', 'pets_allowed: …4h, zona de parrilla. se aceptan mascotas pequenas. garantia: dos…', 'contract: …as. garantia: dos meses. contrato de 12 meses. \n gimnasio ; ascensor…', 'deposit: …eptan mascotas pequenas. garantia: dos meses. contrato de 12 meses.…']"
adondevivir,1014,https://example.com/demo/adondevivir/1014.html,2026-09-24T17:45:06-05:00,2026-07-28,,LIKELY_ACTIVE,returned by a live adondevivir search at 2026-09-24T17:45:06-05:00,Departamento en alquiler — 1 dorm. (DEMO 1014),"Departamento semi-amoblado, calle tranquila y residencial, contrafrente. Dos baños completos, walk-in closet. Incluye estacionamiento. Contrato mínimo 6 meses.",Miraflores,Lima,Av. Ejemplo 213 (DEMO),-12.118348,-77.033802,LISTING,EXACT,3550.0,PEN,3550.0,1048.74,PUBLISHED,CALCULATED,300.0,PEN,300.0,88.63,PUBLISHED,CALCULATED,,3850.0,1137.37,3.385,,Alquiler,1,2.0,70.0,65.0,,,0.0,False,False,True,,,,True,,,,True,,True,,,,,,,,,,,,6.0,,,,,DEMO Agente G,,,https://example.com/img/001014abcdef1234-1014.jpg,4,"['001014abcdef1234', '001014abcdef1234', '001014abcdef1234', '001014abcdef1234']",[],"Departamento semi-amoblado, calle tranquila y residencial, contrafrente. Dos baños completos, walk-in closet. Incluye estacionamiento. Contrato mínimo 6 meses.","['semi_furnished: …emo 1014) \n departamento semiamoblado, calle tranquila y resi…', 'interior_view: …tranquila y residencial, contrafrente. dos banos completos, wa…', 'quiet_claim: …partamento semiamoblado, calle tranquila y residencial, contrafre…', 'parking_included: …mpletos, walk-in closet. incluye estacionamiento. contrato minimo 6 meses…', 'walk_in_closet: …te. dos banos completos, walk-in closet. incluye estacion…', 'contract: …incluye estacionamiento. contrato minimo 6 meses.…']"
urbania,1015,https://example.com/demo/urbania/1015.html,2026-09-24T17:45:06-05:00,2026-09-10,,LIKELY_ACTIVE,returned by a live urbania search at 2026-09-24T17:45:06-05:00,Departamento en alquiler — 2 dorm. (DEMO 1015),"Departamento sin amoblar frente a la avenida principal, ideal para ejecutivos. Recepción 24 horas, coworking.",Miraflores,Lima,Av. Ejemplo 214 (DEMO),-12.113006,-77.048195,LISTING,APPROXIMATE,3300.0,PEN,3300.0,974.89,PUBLISHED,CALCULATED,420.0,PEN,420.0,124.08,PUBLISHED,CALCULATED,,3720.0,1098.97,3.385,,Alquiler,2,2.0,69.0,64.0,,,0.0,False,False,,,,,,,,,,True,,,,,,,True,,,True,,,,,,,,DEMO Agente H,,,https://example.com/img/001015abcdef1234-1015.jpg,4,"['001015abcdef1234', '001015abcdef1234', '001015abcdef1234', '001015abcdef1234']",[],"Departamento sin amoblar frente a la avenida principal, ideal para ejecutivos. Recepción 24 horas, coworking.","['furnished=False: …emo 1015) \n departamento sin amoblar frente a la avenida prin…', 'avenue_view: …departamento sin amoblar frente a la avenida principal, ideal para ej…', 'security_24h: …, ideal para ejecutivos. recepcion 24 horas, coworking.…', 'coworking: …vos. recepcion 24 horas, coworking.…']"
adondevivir,1016,https://example.com/demo/adondevivir/1016,2026-09-24T17:45:06-05:00,2026-09-03,,LIKELY_ACTIVE,returned by a live adondevivir search at 2026-09-24T17:45:06-05:00,Alquiler departamento 2 dormitorios Miraflores (DEMO 1016),"Departamento con vista interior, muy tranquilo, ventanas con doble vidrio. Cocina equipada, lavandería independiente, closets amplios. Edificio con ascensor y vigilancia 24 horas. Contrato mínimo 1 año, 2 meses de garantía y 1 mes de adelanto. Mantenimiento S/ 500.",Miraflores,,Calle Ejemplo 115 (DEMO),-12.117762,-77.043899,LISTING,EXACT,890.0,USD,3012.65,890.0,CALCULATED,PUBLISHED,500.0,PEN,500.0,147.71,PUBLISHED,CALCULATED,,3512.65,1037.71,3.385,,,2,2.0,56.0,55.0,,,,,,,,,True,True,,True,,True,,True,,,,,True,True,,,,,,12.0,2.0,1.0,,,DEMO Inmobiliaria A,+5110001015,,https://example.com/img/001016abcdef1234-1016.jpg,12,"['001016abcdef1234', '001016abcdef1234', '001016abcdef1234', '001016abcdef1234', '001016abcdef1234', '001016abcdef1234', '001016abcdef1234', '001016abcdef1234', '001016abcdef1234', '001016abcdef1234', '001016abcdef1234', '001016abcdef1234']","['Ascensor', 'Vigilancia 24 horas']","Departamento con vista interior, muy tranquilo, ventanas con doble vidrio. Cocina equipada, lavandería independiente, closets amplios. Edificio con ascensor y vigilancia 24 horas. Contrato mínimo 1 año, 2 meses de garantía y 1 mes de adelanto. Mantenimiento S/ 500.","['laundry: …vidrio. cocina equipada, lavanderia independiente, closets a…', 'interior_view: …1016) \n departamento con vista interior, muy tranquilo, ventanas…', 'acoustic_windows: …tranquilo, ventanas con doble vidrio. cocina equipada, lavand…', 'quiet_claim: …ento con vista interior, muy tranquilo, ventanas con doble vid…', 'elevator: …ts amplios. edificio con ascensor y vigilancia 24 horas. c…', 'security_24h: …edificio con ascensor y vigilancia 24 horas. contrato minimo 1…', 'walk_in_closet: …avanderia independiente, closets amplios. edificio con ascensor…', 'contract: …r y vigilancia 24 horas. contrato minimo 1 ano, 2 meses de garantia y 1…', 'deposit: …. contrato minimo 1 ano, 2 meses de garantia y 1 mes de adelanto. man…', 'advance: …o, 2 meses de garantia y 1 mes de adelanto. mantenimiento s/ 500.…', 'maintenance: …tia y 1 mes de adelanto. mantenimiento s/ 500. \n ascensor ; vigilancia 24…']"
urbania,1017,https://example.com/demo/urbania/1017.html,2026-09-24T17:45:06-05:00,2026-08-09,,LIKELY_ACTIVE,returned by a live urbania search at 2026-09-24T17:45:06-05:00,Departamento en alquiler — 2 dorm. (DEMO 1017),"Departamento amoblado frente a la avenida principal, ideal para ejecutivos. Recepción 24 horas, coworking.",Miraflores,Lima,Av. Ejemplo 216 (DEMO),-12.128289,-77.04494,LISTING,APPROXIMATE,3000.0,PEN,3000.0,886.26,PUBLISHED,CALCULATED,500.0,PEN,500.0,147.71,PUBLISHED,CALCULATED,,3500.0,1033.97,3.385,,Alquiler,2,2.0,68.0,63.0,,,1.0,True,True,,,,,,,,,,True,,,,,,,True,,,True,,,,,,,,DEMO Agente F,,,https://example.com/img/001017abcdef1234-1017.jpg,9,"['001017abcdef1234', '001017abcdef1234', '001017abcdef1234', '001017abcdef1234', '001017abcdef1234', '001017abcdef1234', '001017abcdef1234', '001017abcdef1234', '001017abcdef1234']",[],"Departamento amoblado frente a la avenida principal, ideal para ejecutivos. Recepción 24 horas, coworking.","['furnished: …emo 1017) \n departamento amoblado frente a la avenida prin…', 'avenue_view: …departamento amoblado frente a la avenida principal, ideal para ej…', 'security_24h: …, ideal para ejecutivos. recepcion 24 horas, coworking.…', 'coworking: …vos. recepcion 24 horas, coworking.…']"
adondevivir,1018,https://example.com/demo/adondevivir/1018.html,2026-09-24T17:45:06-05:00,2026-08-22,,LIKELY_ACTIVE,returned by a live adondevivir search at 2026-09-24T17:45:06-05:00,Departamento en alquiler — 2 dorm. (DEMO 1018),"Departamento amoblado frente a la avenida principal, ideal para ejecutivos. Recepción 24 horas, coworking.",Miraflores,Lima,Av. Ejemplo 217 (DEMO),-12.122184,-77.03125,LISTING,EXACT,3550.0,PEN,3550.0,1048.74,PUBLISHED,CALCULATED,250.0,PEN,250.0,73.86,PUBLISHED,CALCULATED,,3800.0,1122.6,3.385,,Alquiler,2,1.0,78.0,73.0,,,0.0,False,True,,,,,,,,,,True,,,,,,,True,,,True,,,,,,,,DEMO Agente G,,,https://example.com/img/001018abcdef1234-1018.jpg,8,"['001018abcdef1234', '001018abcdef1234', '001018abcdef1234', '001018abcdef1234', '001018abcdef1234', '001018abcdef1234', '001018abcdef1234', '001018abcdef1234']",[],"Departamento amoblado frente a la avenida principal, ideal para ejecutivos. Recepción 24 horas, coworking.","['furnished: …emo 1018) \n departamento amoblado frente a la avenida prin…', 'avenue_view: …departamento amoblado frente a la avenida principal, ideal para ej…', 'security_24h: …, ideal para ejecutivos. recepcion 24 horas, coworking.…', 'coworking: …vos. recepcion 24 horas, coworking.…']"
urbania,1019,https://example.com/demo/urbania/1019,2026-09-24T17:45:06-05:00,2026-09-21,,LIKELY_ACTIVE,returned by a live urbania search at 2026-09-24T17:45:06-05:00,Alquiler departamento 1 dormitorio Miraflores (DEMO 1019),"Departamento totalmente amoblado frente a la avenida principal, ideal para ejecutivos. Recepción 24 horas, coworking.",Miraflores,,Calle Ejemplo 118 (DEMO),-12.122803,-77.030562,LISTING,EXACT,790.0,USD,2674.15,790.0,CALCULATED,PUBLISHED,300.0,PEN,300.0,88.63,PUBLISHED,CALCULATED,,2974.15,878.63,3.385,,,1,2.0,66.0,62.0,,,,,True,,,,True,,,,,,True,,,,,,True,True,,,True,,,,,,,,DEMO Inmobiliaria D,+5110001018,,https://example.com/img/001019abcdef1234-1019.jpg,11,"['001019abcdef1234', '001019abcdef1234', '001019abcdef1234', '001019abcdef1234', '001019abcdef1234', '001019abcdef1234', '001019abcdef1234', '001019abcdef1234', '001019abcdef1234', '001019abcdef1234', '001019abcdef1234']","['Ascensor', 'Lavandería']","Departamento totalmente amoblado frente a la avenida principal, ideal para ejecutivos. Recepción 24 horas, coworking.","['furnished: …departamento totalmente amoblado frente a la avenida prin…', 'laundry: …coworking. \n ascensor ; lavanderia…', 'avenue_view: …ento totalmente amoblado frente a la avenida principal, ideal para ej…', 'elevator: …n 24 horas, coworking. \n ascensor ; lavanderia…', 'security_24h: …, ideal para ejecutivos. recepcion 24 horas, coworking. \n asce…', 'coworking: …vos. recepcion 24 horas, coworking. \n ascensor ; lavanderia…']"
adondevivir,1020,https://example.com/demo/adondevivir/1020.html,2026-09-24T17:45:06-05:00,2026-09-10,,LIKELY_ACTIVE,returned by a live adondevivir search at 2026-09-24T17:45:06-05:00,Departamento en alquiler — 1 dorm. (DEMO 1020),"Flat en piso 3, iluminado, cerca de supermercados y del malecón. Terraza, estudio / home office. Edificio con gimnasio y piscina. Mantenimiento aprox. 300 soles.",Miraflores,Lima,Av. Ejemplo 219 (DEMO),-12.118705,-77.031051,LISTING,EXACT,3500.0,PEN,3500.0,1033.97,PUBLISHED,CALCULATED,300.0,PEN,300.0,88.63,PUBLISHED,CALCULATED,,3800.0,1122.6,3.385,,Alquiler,1,2.0,49.0,44.0,3.0,,0.0,False,,,,True,,,,,True,,,,,,,,,,True,True,,,,,,,,,DEMO Agente I,,,https://example.com/img/001020abcdef1234-1020.jpg,8,"['001020abcdef1234', '001020abcdef1234', '001020abcdef1234', '001020abcdef1234', '001020abcdef1234', '001020abcdef1234', '001020abcdef1234', '001020abcdef1234']",[],"Flat en piso 3, iluminado, cerca de supermercados y del malecón. Terraza, estudio / home office. Edificio con gimnasio y piscina. Mantenimiento aprox. 300 soles.","['terrace: …rmercados y del malecon. terraza, estudio / home office.…', 'gym: …ome office. edificio con gimnasio y piscina. mantenimiento…', 'pool: …edificio con gimnasio y piscina. mantenimiento aprox. 30…', 'study: …econ. terraza, estudio / home office. edificio con gimnasio y…', 'maintenance: …con gimnasio y piscina. mantenimiento aprox. 300 soles.…', 'maintenance amount read from description']"
urbania,1021,https://example.com/demo/urbania/1021.html,2026-09-24T17:45:06-05:00,2026-08-26,,LIKELY_ACTIVE,returned by a live urbania search at 2026-09-24T17:45:06-05:00,Departamento en alquiler — 1 dorm. (DEMO 1021),"Flat amoblado en piso 1, iluminado, cerca de supermercados y del malecón. Terraza, estudio / home office. Edificio con gimnasio y piscina. Mantenimiento aprox. 350 soles.",Miraflores,Lima,Av. Ejemplo 220 (DEMO),-12.109984,-77.020297,LISTING,APPROXIMATE,2750.0,PEN,2750.0,812.41,PUBLISHED,CALCULATED,350.0,PEN,350.0,103.4,PUBLISHED,CALCULATED,,3100.0,915.81,3.385,,Alquiler,1,1.0,44.0,39.0,1.0,,1.0,True,True,,,True,,,,,True,,,,,,,,,,True,True,,,,,,,,,DEMO Agente F,,,https://example.com/img/001021abcdef1234-1021.jpg,12,"['001021abcdef1234', '001021abcdef1234', '001021abcdef1234', '001021abcdef1234', '001021abcdef1234', '001021abcdef1234', '001021abcdef1234', '001021abcdef1234', '001021abcdef1234', '001021abcdef1234', '001021abcdef1234', '001021abcdef1234']",[],"Flat amoblado en piso 1, iluminado, cerca de supermercados y del malecón. Terraza, estudio / home office. Edificio con gimnasio y piscina. Mantenimiento aprox. 350 soles.","['furnished: …dorm. (demo 1021) \n flat amoblado en piso 1, iluminado, ce…', 'terrace: …rmercados y del malecon. terraza, estudio / home office.…', 'gym: …ome office. edificio con gimnasio y piscina. mantenimiento…', 'pool: …edificio con gimnasio y piscina. mantenimiento aprox. 35…', 'study: …econ. terraza, estudio / home office. edificio con gimnasio y…', 'maintenance: …con gimnasio y piscina. mantenimiento aprox. 350 soles.…']"
adondevivir,1022,https://example.com/demo/adondevivir/1022,2026-09-24T17:45:06-05:00,2026-09-05,,LIKELY_ACTIVE,returned by a live adondevivir search at 2026-09-24T17:45:06-05:00,Alquiler departamento 1 dormitorio Miraflores (DEMO 1022),"Flat en piso 1, iluminado, cerca de supermercados y del malecón. Terraza, estudio / home office. Edificio con gimnasio y piscina. Mantenimiento aprox. 300 soles.",Miraflores,,Calle Ejemplo 121 (DEMO),-12.125383,-77.019654,LISTING,APPROXIMATE,1030.0,USD,3486.55,1030.0,CALCULATED,PUBLISHED,300.0,PEN,300.0,88.63,PUBLISHED,CALCULATED,,3786.55,1118.63,3.385,,,1,2.0,46.0,38.0,1.0,,,,,,,True,True,,,,True,,,,,,,,,,True,True,,,,,,,,,DEMO Inmobiliaria B,+5110001021,,https://example.com/img/001022abcdef1234-1022.jpg,3,"['001022abcdef1234', '001022abcdef1234', '001022abcdef1234']","['Lavandería', 'Gimnasio']","Flat en piso 1, iluminado, cerca de supermercados y del malecón. Terraza, estudio / home office. Edificio con gimnasio y piscina. Mantenimiento aprox. 300 soles.","['terrace: …rmercados y del malecon. terraza, estudio / home office.…', 'laundry: …ento aprox. 300 soles. \n lavanderia ; gimnasio…', 'gym: …ome office. edificio con gimnasio y piscina. mantenimiento…', 'pool: …edificio con gimnasio y piscina. mantenimiento aprox. 30…', 'study: …econ. terraza, estudio / home office. edificio con gimnasio y…', 'maintenance: …con gimnasio y piscina. mantenimiento aprox. 300 soles. \n lavanderia ; gimnasio…']"
urbania,1023,https://example.com/demo/urbania/1023.html,2026-09-24T17:45:06-05:00,2026-09-08,,LIKELY_ACTIVE,returned by a live urbania search at 2026-09-24T17:45:06-05:00,Departamento en alquiler — 1 dorm. (DEMO 1023),"Departamento amoblado frente a la avenida principal, ideal para ejecutivos. Recepción 24 horas, coworking.",Miraflores,Lima,Av. Ejemplo 222 (DEMO),-12.130803,-77.035289,LISTING,EXACT,2450.0,PEN,2450.0,723.78,PUBLISHED,CALCULATED,300.0,PEN,300.0,88.63,PUBLISHED,CALCULATED,,2750.0,812.41,3.385,,Alquiler,1,2.0,68.0,63.0,,,0.0,False,True,,,,,,,,,,True,,,,,,,True,,,True,,,,,,,,DEMO Agente H,,,https://example.com/img/001023abcdef1234-1023.jpg,6,"['001023abcdef1234', '001023abcdef1234', '001023abcdef1234', '001023abcdef1234', '001023abcdef1234', '001023abcdef1234']",[],"Departamento amoblado frente a la avenida principal, ideal para ejecutivos. Recepción 24 horas, coworking.","['furnished: …emo 1023) \n departamento amoblado frente a la avenida prin…', 'avenue_view: …departamento amoblado frente a la avenida principal, ideal para ej…', 'security_24h: …, ideal para ejecutivos. recepcion 24 horas, coworking.…', 'coworking: …vos. recepcion 24 horas, coworking.…']"
adondevivir,1024,https://example.com/demo/adondevivir/1024.html,2026-09-24T17:45:06-05:00,2026-09-17,,LIKELY_ACTIVE,returned by a live adondevivir search at 2026-09-24T17:45:06-05:00,Departamento en alquiler — 2 dorm. (DEMO 1024),"Lindo depa totalmente amoblado con balcón y vista a la avenida, a pocos pasos del parque. Portería 24h, zona de parrilla. Se aceptan mascotas pequeñas. Garantía: dos meses. Contrato de 12 meses.",Miraflores,Lima,Av. Ejemplo 223 (DEMO),-12.106571,-77.037254,LISTING,EXACT,3250.0,PEN,3250.0,960.12,PUBLISHED,CALCULATED,350.0,PEN,350.0,103.4,PUBLISHED,CALCULATED,,3600.0,1063.52,3.385,,Alquiler,2,2.0,58.0,53.0,,,0.0,False,True,,True,,,,True,,,,,,,,,,,True,,,,True,True,12.0,2.0,,,,DEMO Agente I,,,https://example.com/img/001024abcdef1234-1024.jpg,10,"['001024abcdef1234', '001024abcdef1234', '001024abcdef1234', '001024abcdef1234', '001024abcdef1234', '001024abcdef1234', '001024abcdef1234', '001024abcdef1234', '001024abcdef1234', '001024abcdef1234']",[],"Lindo depa totalmente amoblado con balcón y vista a la avenida, a pocos pasos del parque. Portería 24h, zona de parrilla. Se aceptan mascotas pequeñas. Garantía: dos meses. Contrato de 12 meses.","['furnished: …lindo depa totalmente amoblado con balcon y vista a la…', 'balcony: …totalmente amoblado con balcon y vista a la avenida, a…', 'exterior_view: …te amoblado con balcon y vista a la avenida, a pocos pasos del parqu…', 'security_24h: …pocos pasos del parque. porteria 24h, zona de parrilla. s…', 'common_areas: …el parque. porteria 24h, zona de parrilla. se aceptan mascotas peq…', 'pets_allowed: …4h, zona de parrilla. se aceptan mascotas pequenas. garantia: dos…', 'contract: …as. garantia: dos meses. contrato de 12 meses.…', 'deposit: …eptan mascotas pequenas. garantia: dos meses. contrato de 12 meses.…']"
urbania,1025,https://example.com/demo/urbania/1025,2026-09-24T17:45:06-05:00,2026-09-13,,LIKELY_ACTIVE,returned by a live urbania search at 2026-09-24T17:45:06-05:00,Alquiler departamento 1 dormitorio Miraflores (DEMO 1025),"Lindo depa sin amoblar con balcón y vista a la avenida, a pocos pasos del parque. Portería 24h, zona de parrilla. Se aceptan mascotas pequeñas. Garantía: dos meses. Contrato de 12 meses.",Miraflores,,Calle Ejemplo 124 (DEMO),-12.113883,-77.024139,LISTING,EXACT,1040.0,USD,3520.4,1040.0,CALCULATED,PUBLISHED,350.0,PEN,350.0,103.4,PUBLISHED,CALCULATED,,3870.4,1143.4,3.385,,,1,1.0,42.0,42.0,,,,,False,,True,,True,,True,,,,,,,,,,True,True,,,,True,True,12.0,2.0,,,,DEMO Inmobiliaria E,+5110001024,,https://example.com/img/001025abcdef1234-1025.jpg,8,"['001025abcdef1234', '001025abcdef1234', '001025abcdef1234', '001025abcdef1234', '001025abcdef1234', '001025abcdef1234', '001025abcdef1234', '001025abcdef1234']","['Lavandería', 'Ascensor']","Lindo depa sin amoblar con balcón y vista a la avenida, a pocos pasos del parque. Portería 24h, zona de parrilla. Se aceptan mascotas pequeñas. Garantía: dos meses. Contrato de 12 meses.","['furnished=False: …(demo 1025) \n lindo depa sin amoblar con balcon y vista a la…', 'balcony: …ndo depa sin amoblar con balcon y vista a la avenida, a…', 'laundry: …contrato de 12 meses. \n lavanderia ; ascensor…', 'exterior_view: …sin amoblar con balcon y vista a la avenida, a pocos pasos del parqu…', 'elevator: …12 meses. \n lavanderia ; ascensor…', 'security_24h: …pocos pasos del parque. porteria 24h, zona de parrilla. s…', 'common_areas: …el parque. porteria 24h, zona de parrilla. se aceptan mascotas peq…', 'pets_allowed: …4h, zona de parrilla. se aceptan mascotas pequenas. garantia: dos…', 'contract: …as. garantia: dos meses. contrato de 12 meses. \n lavanderia ; ascensor…', 'deposit: …eptan mascotas pequenas. garantia: dos meses. contrato de 12 meses.…']"
adondevivir,1026,https://example.com/demo/adondevivir/1026.html,2026-09-24T17:45:06-05:00,2026-09-07,,LIKELY_ACTIVE,returned by a live adondevivir search at 2026-09-24T17:45:06-05:00,Departamento en alquiler — 2 dorm. (DEMO 1026),"Departamento sin amoblar con vista interior, muy tranquilo, ventanas con doble vidrio. Cocina equipada, lavandería independiente, closets amplios. Edificio con ascensor y vigilancia 24 horas. Contrato mínimo 1 año, 2 meses de garantía y 1 mes de adelanto. Mantenimiento S/ 500.",Miraflores,Lima,Av. Ejemplo 225 (DEMO),-12.122599,-77.04153,LISTING,EXACT,3600.0,PEN,3600.0,1063.52,PUBLISHED,CALCULATED,500.0,PEN,500.0,147.71,PUBLISHED,CALCULATED,,4100.0,1211.23,3.385,,Alquiler,2,2.0,75.0,70.0,,,0.0,False,False,,,,True,True,,True,,True,,True,,,,,True,True,,,,,,12.0,2.0,1.0,,,DEMO Agente G,,,https://example.com/img/001026abcdef1234-1026.jpg,4,"['001026abcdef1234', '001026abcdef1234', '001026abcdef1234', '001026abcdef1234']",[],"Departamento sin amoblar con vista interior, muy tranquilo, ventanas con doble vidrio. Cocina equipada, lavandería independiente, closets amplios. Edificio con ascensor y vigilancia 24 horas. Contrato mínimo 1 año, 2 meses de garantía y 1 mes de adelanto. Mantenimiento S/ 500.","['furnished=False: …emo 1026) \n departamento sin amoblar con vista interior, muy…', 'laundry: …vidrio. cocina equipada, lavanderia independiente, closets a…', 'interior_view: …rtamento sin amoblar con vista interior, muy tranquilo, ventanas…', 'acoustic_windows: …tranquilo, ventanas con doble vidrio. cocina equipada, lavand…', 'quiet_claim: …blar con vista interior, muy tranquilo, ventanas con doble vid…', 'elevator: …ts amplios. edificio con ascensor y vigilancia 24 horas. c…', 'security_24h: …edificio con ascensor y vigilancia 24 horas. contrato minimo 1…', 'walk_in_closet: …avanderia independiente, closets amplios. edificio con ascensor…', 'contract: …r y vigilancia 24 horas. contrato minimo 1 ano, 2 meses de garantia y 1…', 'deposit: …. contrato minimo 1 ano, 2 meses de garantia y 1 mes de adelanto. man…', 'advance: …o, 2 meses de garantia y 1 mes de adelanto. mantenimiento s/ 500.…', 'maintenance: …tia y 1 mes de adelanto. mantenimiento s/ 500.…']"
